product_name,selling_price,regular_price,currency,pdp_url,product_description,rating,review,promotion_description,breadcrumb,images
Pumpkin Spice,3.99,3.99,EURO,https://www.lorespresso.com//fr_fr/p/pumpkin-spice,"Capturez toute la douceur de la saison automnale avec un café conçu pour vous pour vous offrir des instants dégustation suspendus. Découvrez L'OR Pumpkin Spice, un espresso riche et gourmand, créé avec soin pour évoquer un sentiment de réconfort alors que les jours se rafraîchissent. Au cœur de ce mélange se trouvent la profondeur et l'intensité d'un espresso signature L'OR. Nos Maîtres Torréfacteurs ont subtilement pensé un mélange subtil de saveurs épicées. Laissez-vous séduire par les notes envoûtantes de cannelle, de clou de girofle et d'une touche de badiane qui éveillent les sens, créant un assemblage riche et équilibré. Faites de L'OR Espresso Pumpkin Spice votre délicieuse évasion vers le réconfort de la saison.",,,Nouveauté,Accueil > Capsules de café > Capsules Classiques > Pumpkin Spice,https://www.lorespresso.com/media/catalog/product/0/8/08711000581049_h2n1_640x640px.png?format=jpeg
Perles de Café L'OR,4.99,4.99,EURO,https://www.lorespresso.com//fr_fr/p/perles-de-cafe,"Soyez parmi les premiers à découvrir les perles éclatantes à l'extrait de café L'OR. Élaborées à partir de véritable café, ces perles offrent une nouvelle sensation gustative, éclatantes de saveurs, qui dépasse l’ordinaire. Découvrez une façon inédite de savourer le café : chaque perle libère une explosion de douceur et de notes légèrement torréfiées. Une expérience sensorielle unique, à tout moment de la journée. Les perles éclatantes à l'extrait de café L'OR, contrairement aux perles de tapioca du bubble tea, ne sont ni gommeuses, ni solides : elles vous surprendront en libérant le café qu'elles contiennent.",3.1,17,Nouveauté,Accueil > Accessoires > Perles de Café L'OR,https://www.lorespresso.com/media/catalog/product/l/_/l_or_coffee_popping_pearls_100g_pack_shot_640x_640_1_.png?format=jpeg
Maxi pack Splendente x50,11.92,15.89,EURO,https://www.lorespresso.com//fr_fr/p/splendente-50,L’OR Espresso SPLENDENTE est un espresso d’une qualité incomparable avec des arômes prononcés et une élégante mousse dorée. Son goût irrésistible est couronné de légères notes de noisettes finissant sur un zeste d’agrumes.,4.8,860,-25 %,Accueil > Capsules de café > Capsules Classiques > Maxi pack Splendente x50,https://www.lorespresso.com/media/catalog/product/f/r/fr_8711000705162_l_or_espresso_splendente_50x_hero_1_.png?format=jpeg
Maxi pack Ristretto x50,11.92,15.89,EURO,https://www.lorespresso.com//fr_fr/p/ristretto-50,"Composé avec soin, le Ristretto éblouit les sens par son caractère expressif et vivifiant ainsi que par son puissant arôme épicé. Ce ristretto est idéal pour un moment de dégustation intense : sa fraîcheur et sa richesse conquerront vos sens. Ce mélange est le fruit d'une longue maturation – une expérience inoubliable grâce à des épices fraîches telles que le gingembre et la cardamome, le tout insufflé d'une fraîcheur exaltante qui le rend unique. Un café petit mais costaud, qui vous réveillera grâce à son goût fort, corsé et plein de caractère. Faites le plein de L'OR Ristretto avec le Maxi Pack de 50 capsules.",4.8,1338,-25 %,Accueil > Capsules de café > Capsules Classiques > Maxi pack Ristretto x50,https://www.lorespresso.com/media/catalog/product/f/r/fr_8711000705094_sisei_lor_espresso-ristretto_x50_hero_1.png?format=jpeg
Iced Coffee XXL,5.59,5.59,EURO,https://www.lorespresso.com//fr_fr/p/cafe-glace-4057832,"Sublimez vos instants café avec les capsules L'OR Espresso Coffee Iced, conçues pour ceux qui aiment leur café froid. Chaque capsule libère un espresso rafraîchissant et audacieux avec une texture douce et soyeuse. La crème onctueuse et parfumée rehausse les saveurs fraîches de la boisson, offrant une expérience revitalisante à la fois douce et audacieuse. Que vous vous détendiez à la maison ou que vous cherchiez à impressionner vos invités, L'OR offre une expérience de café glacé facile à préparer et irrésistible.",4.1,87,Nouveauté,Accueil > Capsules de café > Capsules XXL > Iced Coffee XXL,https://www.lorespresso.com/media/catalog/product/c/2/c21351110_jde_lor_dtc_iced_pack_gbl_mhi_640x640_1.png?format=jpeg
Coconut Iced,3.99,3.99,EURO,https://www.lorespresso.com//fr_fr/p/coconut-iced,"L'été est un état d'esprit, un moment d'élégance paisible. C'est l'art de savourer les plaisirs simples de la vie, une douce évasion du quotidien. L'OR capture cette essence avec le nouveau Coconut Iced. Imaginez la caresse soyeuse et exotique de la noix de coco, méticuleusement refroidie avec des glaçons, transformant votre pause café en un instant de pur plaisir raffiné. Coconut Iced est plus qu'une boisson ; c'est une invitation à embrasser la beauté sereine de l'été, où que vous soyez. Laissez L'OR Coconut Iced vous transporter aileurs, où chaque gorgée est un moment de pur bonheur ensoleillé. Votre voyage vers la sérénité de l'été commence maintenant.",4.4,98,Nouveauté,Accueil > Capsules de café > Capsules Classiques > Coconut Iced,https://www.lorespresso.com/media/catalog/product/c/2/c21358273_jde_l_or_dtc_iced_coconut_gbl_pack_front_640x640px_4.png?format=jpeg
Double Espresso - lot de 50 Capsules,20.95,27.95,EURO,https://www.lorespresso.com//fr_fr/p/double-espresso-5-pack,"Le Double Espresso Barista de L'OR est conçu exclusivement pour la machine à café L'OR BARISTA. Cette compatibilité spécialisée assure que vous puissiez préparer sans effort deux cafés individuels simultanément ou opter pour un café extra-long, le tout avec la même capsule. C'est la solution parfaite pour ces moments où vous recevez un ami ou souhaitez simplement une expérience de café plus prolongée. Que ce soit pour une pause café rapide ou un matin tranquille, ces capsules offrent la flexibilité pour répondre à vos besoins en café. Profitez du luxe de faire un café de qualité barista chez vous avec facilité et efficacité grâce à l'approche innovante de L'OR en matière de préparation de café.",4.8,165,-25 %,Accueil > Capsules de café > Capsules XXL > Double Espresso - lot de 50 Capsules,https://www.lorespresso.com/media/catalog/product/d/o/double_splendente_multipack_2.png?format=jpeg
Double Ristretto - lot de 50 Capsules,20.95,27.95,EURO,https://www.lorespresso.com//fr_fr/p/double-ristretto-5-packs,"Le Double Ristretto Barista de L'OR est une occasion unique de redécouvrir les saveurs bien-aimées du Ristretto L'OR, mais avec une touche d'originalité. Ces capsules doubles sont spécialement conçues pour être utilisées avec la machine L'OR BARISTA®. Ce design spécialisé signifie que vous pouvez facilement préparer un double Ristretto ou deux tasses individuelles de Ristretto en même temps, idéal pour partager un instant café avec quelqu'un d'autre ou pour savourer une expérience de café plus intense seul. Le Double Ristretto Barista de L'OR est connu pour ses notes épicées puissantes et un caractère audacieux et expressif qui laisse une impression durable.",4.8,377,-25 %,Accueil > Capsules de café > Capsules XXL > Double Ristretto - lot de 50 Capsules,https://www.lorespresso.com/media/catalog/product/r/i/ristretto_z2_multipack.png?format=jpeg
"Espresso Decaffeinato ",3.65,3.65,EURO,https://www.lorespresso.com//fr_fr/p/espresso-decaffeinato-06,"L’expérience d’un espresso raffiné, sans caféine mais avec toute la richesse aromatique d’un café d’exception. Ses notes subtiles de cacao et de baies sauvages révèlent une complexité délicate qui séduit à chaque gorgée. Grâce à un processus de décaféination minutieux, ce café préserve toute la complexité et la profondeur d’un espresso classique. Chaque tasse dévoile une texture veloutée et une finition élégante, pour une dégustation exquise à tout moment de la journée.",4.7,287,Meilleures ventes,"Accueil > Capsules de café > Capsules de café déca > Espresso Decaffeinato ",https://www.lorespresso.com/media/catalog/product/l/o/lor_pdp_espresso_decaffeinato_x10capsules_640x640.png?format=jpeg
Espresso Splendente,3.65,3.65,EURO,https://www.lorespresso.com//fr_fr/p/espresso-splendente-7,"Avec l'Espresso Splendente de L'OR, tous vos sens sont en éveil : un mélange délicieux qui est couronné de la saveur riche des noisettes et est légèrement acidulé. Des notes d'agrumes et de noix qui se combinent dans ce mélange des plus vibrants. Il est l'incarnation parfaite de la qualité inégalée de L'OR Espresso caractérisée par un arôme puissant, une fine couche de crème dorée et un flair irrésistible. La douceur classique de L'OR Espresso Splendente est un petit plaisir, un peu comme lorsqu'on mange un chou à la crème et à la confiture. L'OR Espresso Splendente est la création des artistes L'OR et se veut éveiller vos sens et illuminer votre journée et rappelle ainsi les premiers rayons de soleil un dimanche matin. Un café qui réveille tout en douceur, vous réconforte et deviendra vite l'une de vos boissons préférées. Développé par les artistes L'OR.",4.8,860,,Accueil > Capsules de café > Capsules Classiques > Espresso Splendente,https://www.lorespresso.com/media/catalog/product/l/o/lor_pdp_espresso_splendente_x10capsules_640x640.png?format=jpeg
